run sep e_members phi f lambda elon_min elon_max sw_speed_mean sw_speed_std gamma tinit rinit vinit mean_residual arrtime_earth mae_t me_t rmse_t mstd_t
run_075 350 3 10.0000 0.7-1 50.0000 8.03000 25.6500 675 25 0.0333333 2009-07-30T23:45 50 1028 0.400000 2009-08-01T07:45:00.000 27.1300 -27.1300 0.00000 0.00000
run_035 340 45 20.0000 0.7-1 50.0000 9.01200 30.2020 490 133 0.331778 2009-08-03T05:02 46 811 0.362222 2009-08-05T01:54:10.667 4.26156 4.26156 1.04280 1.05458
run_035 350 72 10.0000 0.7-1 50.0000 8.44472 27.5096 462 131 0.348472 2009-08-03T05:02 47 841 0.593056 2009-08-05T02:07:09.167 4.48555 4.47916 1.93147 1.94503
run_042 280 65 80.0000 0.7-1 50.0000 12.1400 33.0332 501 130 0.261692 2009-08-20T17:02 45 816 0.564615 2009-08-22T12:57:32.308 4.11092 -4.11092 0.919205 0.926358
run_042 290 76 70.0000 0.7-1 50.0000 12.7500 34.1200 475 137 0.289474 2009-08-20T17:02 48 891 0.385526 2009-08-22T11:42:39.474 5.35908 -5.35908 0.872872 0.878672
run_042 300 76 60.0000 0.7-1 50.0000 13.0800 33.7600 475 137 0.160263 2009-08-20T17:02 49 954 0.261842 2009-08-22T07:24:06.316 9.66816 -9.66816 0.440973 0.443903
run_042 310 67 50.0000 0.7-1 50.0000 12.0691 33.8900 491 136 0.0979104 2009-08-20T17:02 47 1012 0.216418 2009-08-22T03:53:33.134 13.1815 -13.1815 0.494798 0.498532
run_042 320 46 40.0000 0.7-1 50.0000 11.0593 33.0876 507 144 0.0763043 2009-08-20T17:02 46 1067 0.119565 2009-08-22T01:28:56.087 15.5939 -15.5939 0.521647 0.527411
run_042 330 39 30.0000 0.7-1 50.0000 10.3400 31.9943 480 141 0.0700000 2009-08-20T15:45 47 1123 0.100000 2009-08-21T23:44:29.231 17.3346 -17.3346 0.216426 0.219255
run_042 340 44 20.0000 0.7-1 50.0000 9.52000 30.2500 497 141 0.0775000 2009-08-20T15:45 48 1184 0.0545455 2009-08-21T22:29:19.091 18.5877 -18.5877 0.160919 0.162779
run_042 350 57 10.0000 0.7-1 50.0000 8.50000 26.8400 475 138 0.0770175 2009-08-20T15:45 49 1256 0.0999999 2009-08-21T21:07:37.895 19.9503 -19.9503 0.511880 0.516430
run_031 280 5 80.0000 0.7-1 50.0000 12.4800 34.1100 650 39 0.0600000 2009-09-21T05:02 46 775 0.100000 2009-09-22T23:02:00.000 9.01000 -9.01000 0.00000 0.00000
run_031 310 76 50.0000 0.7-1 50.0000 11.9900 34.5200 475 137 0.267763 2009-09-21T05:02 46 899 0.768421 2009-09-22T23:01:28.421 9.01513 -9.01513 0.904615 0.910625
run_031 320 76 40.0000 0.7-1 50.0000 12.1100 33.8300 475 137 0.173026 2009-09-21T05:02 49 994 0.451316 2009-09-22T18:28:34.737 13.5637 -13.5637 0.764768 0.769850
run_031 330 67 30.0000 0.7-1 50.0000 10.8661 32.9629 491 136 0.0919403 2009-09-21T05:02 48 1068 0.485075 2009-09-22T13:49:49.254 18.2110 -18.2110 0.382693 0.385581
run_031 340 59 20.0000 0.7-1 50.0000 9.55000 30.5337 482 141 0.0735593 2009-09-21T05:02 47 1166 0.264407 2009-09-22T10:40:39.661 21.3658 -21.3658 0.222567 0.224478
run_031 350 57 10.0000 0.7-1 50.0000 8.56000 27.3967 475 138 0.0700000 2009-09-21T03:45 49 1269 0.0999999 2009-09-22T08:13:14.737 23.8228 -23.8228 0.522923 0.527571
run_096 270 9 90.0000 0.7-1 50.0000 12.2800 33.1100 575 68 0.216667 2009-09-28T13:02 46 740 0.300000 2009-09-30T09:59:46.667 10.3456 -10.3456 0.0665183 0.0705533
run_096 280 7 80.0000 0.7-1 50.0000 12.3300 33.1500 625 54 0.0957143 2009-09-28T13:02 46 752 0.300000 2009-09-30T08:22:00.000 11.9700 -11.9700 0.00000 0.00000
run_096 310 17 50.0000 0.7-1 50.0000 11.6300 35.1500 555 63 0.240000 2009-09-28T13:02 46 694 0.200000 2009-09-30T12:25:31.765 7.91471 -7.91471 0.248977 0.256640
run_096 320 55 40.0000 0.7-1 50.0000 11.3200 33.9991 452 117 0.288909 2009-09-28T13:02 46 718 0.378182 2009-09-30T13:51:27.273 6.48237 -6.48237 0.798120 0.805476
run_096 330 60 30.0000 0.7-1 50.0000 10.4720 32.7357 457 117 0.348500 2009-09-28T13:02 46 748 0.531667 2009-09-30T12:54:28.000 7.43283 -7.43283 0.717967 0.724026
run_096 340 68 20.0000 0.7-1 50.0000 9.50500 30.5550 450 123 0.366029 2009-09-28T13:02 46 790 0.473529 2009-09-30T11:44:49.412 8.59456 -8.59456 1.19993 1.20885
run_096 350 72 10.0000 0.7-1 50.0000 8.58444 27.9174 462 131 0.408472 2009-09-28T13:02 47 847 0.529167 2009-09-30T09:50:45.833 10.4956 -10.4956 2.06674 2.08124
run_059 270 39 90.0000 0.7-1 50.0000 12.5300 32.9526 512 117 0.264615 2009-11-22T13:02 46 754 0.105128 2009-11-24T09:47:38.462 5.61256 -5.61256 1.79175 1.81517
run_059 280 37 80.0000 0.7-1 50.0000 12.6600 34.2027 529 123 0.277838 2009-11-22T13:02 46 767 0.148649 2009-11-24T08:41:27.568 6.71540 -6.71540 1.23009 1.24706
run_059 330 59 30.0000 0.7-1 50.0000 10.6483 33.0861 453 115 0.323390 2009-11-22T13:02 46 755 0.347458 2009-11-24T11:52:38.644 3.53085 -3.53085 0.743775 0.750159
run_059 340 68 20.0000 0.7-1 50.0000 9.68000 31.2625 450 123 0.371471 2009-11-22T13:02 46 798 0.483823 2009-11-24T10:43:12.353 4.68971 -4.68971 1.16003 1.16866
run_059 350 73 10.0000 0.7-1 50.0000 8.73219 28.7716 465 132 0.367945 2009-11-22T13:02 47 845 0.556165 2009-11-24T08:13:06.575 7.19151 -7.19151 1.75537 1.76752
run_054 310 69 50.0000 0.7-1 50.0000 12.2200 34.7200 471 127 0.300000 2009-12-16T01:02 46 787 0.500000 2009-12-17T21:10:06.957 4.28797 -4.28797 0.801113 0.806982
run_054 320 76 40.0000 0.7-1 50.0000 12.1100 34.5900 475 137 0.310658 2009-12-16T01:02 48 852 0.401316 2009-12-17T18:42:15.789 6.75211 -6.75211 0.890915 0.896835
run_054 330 67 30.0000 0.7-1 50.0000 10.7979 33.5800 491 136 0.209104 2009-12-16T01:02 46 907 0.313433 2009-12-17T15:50:42.985 9.61537 -9.61537 0.598382 0.602898
run_054 340 63 20.0000 0.7-1 50.0000 9.97937 30.9294 490 140 0.163810 2009-12-16T01:02 47 952 0.176190 2009-12-17T13:37:08.571 11.8417 -11.8417 0.466662 0.470410
run_054 350 56 10.0000 0.7-1 50.0000 8.83750 27.7327 511 134 0.167321 2009-12-16T01:02 48 996 0.171429 2009-12-17T12:23:30.000 13.0696 -13.0696 0.702450 0.708807
run_091 280 10 80.0000 0.7-1 50.0000 12.3300 34.6000 565 80 0.221000 2010-01-22T13:02 45 700 0.400000 2010-01-24T11:05:00.000 7.73800 -7.73800 0.199088 0.209857
run_091 290 3 70.0000 0.7-1 50.0000 12.3500 34.3400 675 25 0.196667 2010-01-22T13:02 45 712 0.300000 2010-01-24T09:42:00.000 9.12000 -9.12000 0.00000 0.00000
run_091 310 5 50.0000 0.7-1 50.0000 11.8300 35.7500 625 39 0.360000 2010-01-22T13:02 46 689 0.200000 2010-01-24T11:02:00.000 7.79000 -7.79000 0.00000 0.00000
run_091 320 51 40.0000 0.7-1 50.0000 11.6941 34.7500 467 110 0.333725 2010-01-22T14:19 47 706 0.476471 2010-01-24T13:13:02.353 5.60529 -5.60529 0.786953 0.794784
run_091 330 61 30.0000 0.7-1 50.0000 10.6648 33.2677 445 112 0.329836 2010-01-22T13:02 46 745 0.567213 2010-01-24T12:22:17.705 6.45344 -6.45344 0.717287 0.723240
run_091 340 66 20.0000 0.7-1 50.0000 9.63000 31.0636 476 127 0.368333 2010-01-22T13:02 46 794 0.663636 2010-01-24T09:09:23.636 9.67045 -9.67045 0.936576 0.943753
run_091 350 75 10.0000 0.7-1 50.0000 8.77227 28.2059 472 136 0.323733 2010-01-22T13:02 47 857 0.641334 2010-01-24T06:48:43.200 12.0148 -12.0148 2.04014 2.05388
run_076 300 30 60.0000 0.7-1 50.0000 12.7173 34.7400 566 58 0.206333 2010-01-24T10:19 47 681 0.373333 2010-01-26T08:15:04.000 7.22000 -7.22000 0.109057 0.110921
run_076 310 61 50.0000 0.7-1 50.0000 12.2346 35.1100 434 111 0.272295 2010-01-24T10:19 46 712 0.401639 2010-01-26T09:32:34.426 5.92983 -5.92983 0.661871 0.667364
run_076 320 64 40.0000 0.7-1 50.0000 11.6600 34.5086 437 116 0.320000 2010-01-24T09:02 46 740 0.346875 2010-01-26T08:32:28.125 6.93187 -6.93187 0.861641 0.868452
run_076 330 60 30.0000 0.7-1 50.0000 10.7487 33.3813 457 117 0.322000 2010-01-24T09:02 46 764 0.403333 2010-01-26T07:08:28.000 8.33417 -8.33417 0.716287 0.722332
run_076 340 58 20.0000 0.7-1 50.0000 9.56656 31.0385 482 121 0.322759 2010-01-24T09:02 46 788 0.332759 2010-01-26T05:18:45.517 10.1650 -10.1650 0.741106 0.747579
run_076 350 72 10.0000 0.7-1 50.0000 8.72930 28.6129 462 131 0.356250 2010-01-24T09:02 47 838 0.648611 2010-01-26T04:18:40.833 11.1656 -11.1656 1.88974 1.90300
run_051 300 28 60.0000 0.7-1 50.0000 12.4386 35.1800 576 58 0.179643 2010-02-07T18:19 46 691 0.346429 2010-02-09T15:34:21.429 7.40036 -7.40036 0.149678 0.152424
run_051 310 40 50.0000 0.7-1 50.0000 12.1950 35.4300 534 80 0.303000 2010-02-07T18:19 46 703 0.400000 2010-02-09T15:46:30.000 7.19775 -7.19775 0.619578 0.627471
run_051 320 52 40.0000 0.7-1 50.0000 11.5500 34.2623 479 116 0.309423 2010-02-07T17:02 46 726 0.338462 2010-02-09T15:50:04.615 7.13904 -7.13904 0.799390 0.807189
run_051 330 59 30.0000 0.7-1 50.0000 10.6683 33.3139 458 118 0.310339 2010-02-07T17:02 46 753 0.406779 2010-02-09T15:25:21.356 7.55237 -7.55237 0.623526 0.628878
run_051 340 63 20.0000 0.7-1 50.0000 9.61698 31.1740 461 119 0.355556 2010-02-07T17:02 46 789 0.414285 2010-02-09T14:28:22.857 8.50413 -8.50413 0.968967 0.976750
run_051 350 72 10.0000 0.7-1 50.0000 8.70930 28.5829 462 131 0.339444 2010-02-07T17:02 47 836 0.613889 2010-02-09T12:17:34.167 10.6838 -10.6838 1.78211 1.79461
run_025 310 10 50.0000 0.7-1 50.0000 12.0800 34.6200 627 62 0.0590000 2010-04-19T09:02 47 850 0.600000 2010-04-20T23:26:00.000 10.0900 -10.0900 0.200000 0.210818
