run sep e_members phi f lambda elon_min elon_max sw_speed_mean sw_speed_std gamma tinit rinit vinit mean_residual arrtime_earth mae_t me_t rmse_t mstd_t
run_019 290 20 70.0000 0.7-1 18.0000 12.1300 33.3200 525 36 0.507000 2009-06-12T12:54 46 388 0.310000 2009-06-15T15:58:00.000 13.1405 -13.1405 0.623759 0.639963
run_019 300 28 60.0000 0.7-1 18.0000 11.7900 33.6500 500 50 0.275714 2009-06-12T12:54 46 390 0.175000 2009-06-15T22:17:34.286 6.81357 -6.81357 0.275321 0.280373
run_019 310 20 50.0000 0.7-1 18.0000 11.1900 33.6200 300 36 0.222500 2009-06-12T12:54 46 395 0.100000 2009-06-16T03:04:00.000 2.04050 -2.04050 0.552978 0.567344
run_019 320 20 40.0000 0.7-1 18.0000 10.3200 32.6500 300 36 0.506500 2009-06-12T12:54 46 407 0.205000 2009-06-16T04:26:00.000 0.874000 -0.673000 0.840328 0.862158
run_019 330 20 30.0000 0.7-1 18.0000 8.99500 30.3300 300 36 0.531500 2009-06-12T12:54 46 422 0.160000 2009-06-16T03:30:45.000 1.59550 -1.59550 0.998922 1.02487
run_019 340 20 20.0000 0.7-1 18.0000 7.39000 26.6000 300 36 0.509000 2009-06-12T12:54 46 435 0.0650000 2009-06-16T02:11:30.000 2.91650 -2.91650 1.29360 1.32720
run_019 350 21 10.0000 0.7-1 18.0000 5.56238 20.8857 303 38 0.551905 2009-06-12T12:54 46 444 0.0809524 2009-06-16T00:48:11.429 4.30571 -4.30571 1.96650 2.01506
run_075 270 24 90.0000 0.7-1 18.0000 11.9900 30.1400 500 45 0.268333 2009-07-31T04:54 45 388 0.200000 2009-08-03T13:39:00.000 9.35667 -9.35667 1.18384 1.20931
run_075 280 23 80.0000 0.7-1 18.0000 12.1100 31.9100 490 42 0.427391 2009-07-31T04:54 45 381 0.265217 2009-08-03T14:02:15.652 8.96913 -8.96913 0.696388 0.712039
run_075 290 23 70.0000 0.7-1 18.0000 12.0700 32.8700 484 42 0.135217 2009-07-31T04:54 45 382 0.100000 2009-08-03T16:50:05.217 6.17217 -6.17217 0.290456 0.296984
run_075 300 18 60.0000 0.7-1 18.0000 11.7500 34.0200 305 33 0.112222 2009-07-31T04:54 45 385 0.200000 2009-08-03T19:20:06.667 3.67167 -3.67167 0.208706 0.214757
run_075 310 20 50.0000 0.7-1 18.0000 11.1900 33.2200 300 36 0.448500 2009-07-31T04:54 46 394 0.100000 2009-08-03T21:06:00.000 1.90700 -1.90700 0.653178 0.670146
run_075 320 20 40.0000 0.7-1 18.0000 10.3200 32.3700 300 36 0.600000 2009-07-31T04:54 46 404 0.190000 2009-08-03T21:20:00.000 1.68000 -1.67400 0.938394 0.962772
run_075 330 20 30.0000 0.7-1 18.0000 8.97750 30.1650 300 36 0.601000 2009-07-31T04:54 46 414 0.120000 2009-08-03T20:32:45.000 2.46200 -2.46200 1.03840 1.06538
run_075 340 20 20.0000 0.7-1 18.0000 7.35500 26.5100 300 36 0.589500 2009-07-31T04:54 46 425 0.0350000 2009-08-03T19:38:00.000 3.37450 -3.37450 1.36966 1.40524
run_075 350 20 10.0000 0.7-1 18.0000 5.64500 21.1750 300 36 0.510000 2009-07-31T04:54 46 429 0.0550000 2009-08-03T18:16:00.000 4.74050 -4.74050 1.63279 1.67520
run_035 270 12 90.0000 0.7-1 18.0000 12.4500 30.2900 675 21 0.882500 2009-08-03T07:37 47 547 0.108333 2009-08-05T13:32:00.000 1.45917 -1.45917 0.534251 0.558007
run_035 280 14 80.0000 0.7-1 18.0000 12.6700 31.8400 667 26 0.780714 2009-08-03T07:37 47 550 0.0714286 2009-08-05T14:17:42.857 0.715714 -0.698571 0.419981 0.435834
run_035 290 12 70.0000 0.7-1 18.0000 12.6000 33.0400 675 21 0.691667 2009-08-03T07:37 47 550 0.0500000 2009-08-05T13:57:50.000 1.03000 -1.03000 0.220303 0.230099
run_035 300 12 60.0000 0.7-1 18.0000 12.2400 33.7400 675 21 0.669167 2009-08-03T07:37 47 552 0.00000 2009-08-05T13:57:50.000 1.03000 -1.03000 0.209085 0.218383
run_035 310 13 50.0000 0.7-1 18.0000 11.5500 33.6000 671 24 0.770000 2009-08-03T07:37 47 553 0.0615385 2009-08-05T13:58:32.308 1.01769 -1.01769 0.297481 0.309628
run_035 320 12 40.0000 0.7-1 18.0000 10.5100 32.6100 675 21 0.848333 2009-08-03T07:37 47 550 0.0250000 2009-08-05T13:35:20.000 1.40333 -1.40333 0.253750 0.265033
run_035 330 12 30.0000 0.7-1 18.0000 9.13000 30.2100 675 21 0.928333 2009-08-03T07:37 46 544 0.0333333 2009-08-05T13:39:30.000 1.33500 -1.33500 0.327070 0.341614
run_035 340 13 20.0000 0.7-1 18.0000 7.48000 26.6439 671 24 0.883846 2009-08-03T07:37 46 526 0.153846 2009-08-05T14:40:50.769 0.643846 -0.313077 0.686175 0.714194
